Artist,Song Name,Lyrics,Mood
"Ed Sheeran
",The A Team,"White lips, pale face
Breathing in the snowflakes
Burnt lungs, sour taste
Light's gone, days end
Struggling to pay rent
Long nights, strange men
And they say
She's in the Class A Team
Stuck in her daydream
Been this way since 18
But lately, her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
The worst things in life come free to us
'Cause we're just under the upper hand
And go mad for a couple grams
And she don't wanna go outside tonight
And in a pipe she flies to the motherland
Or sells love to another man
It's too cold outside
For angels to fly
Angels to fly
Ripped gloves, raincoat
Tried to swim, stay afloat
Dry house, wet clothes
Loose change, bank notes
Weary-eyed, dry throat
Call girl, no phone
And they say
She's in the Class A Team
Stuck in her daydream
Been this way since 18
But lately, her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
The worst things in life come free to us
'Cause we're just under the upper hand
And go mad for a couple grams
But she don't wanna go outside tonight
And in a pipe she flies to the motherland
Sells love to another man
It's too cold outside
For angels to fly
An angel will die
Covered in white
Closed eyes and hopin' for a better life
This time, we'll fade out tonight
Straight down the line
And they say
She's in the Class A Team
Stuck in her daydream
Been this way since 18
But lately, her face seems
Slowly sinking, wasting
Crumbling like pastries
They scream
The worst things in life come free to us
And we're all under the upper hand
And go mad for a couple grams
And we don't wanna go outside tonight
And in the pipe, fly to the motherland
Or sell love to another man
It's too cold outside
For angels to fly
Angels to fly
Fly, fly
For angels to fly, to fly, to fly
Angels to die",Sad
Billie Eilish,No Time To Die,"I should've known
I'd leave alone
Just goes to show
That the blood you bleed
Is just the blood you owe
We were a pair
But I saw you there
Too much to bear
You were my life
But life is far away from fair
Was I stupid to love you?
Was I reckless to help?
Was it obvious to everybody else
That I'd fallen for a lie?
You were never on my side
Fool me once, fool me twice
Are you death or paradise?
Now you'll never see me cry
There's just no time to die
I let it burn
You're no longer my concern
Faces from my past return
Another lesson yet to learn
That I'd fallen for a lie
You were never on my side
Fool me once, fool me twice
Are you death or paradise?
Now you'll never see me cry
There's just no time to die
No time to die
No time to die
Fool me once, fool me twice
Are you death or paradise?
Now you'll never see me cry
There's just no time to die",Sad
Amy Winehouse,Love Is A Losing Game,"For you, I was a flame
Love is a losing game
Five story fire as you came
Love is a losing game
One I wished I never played
Oh, what a mess we made
And now, the final frame
Love is a losing game
Played out by the band
Love is a losing hand
More than I could stand
Love is a losing hand
Self-professed, profound
'Til the chips were down
Know you're a gambling man
Love is a losing hand
Though I battle blind
Love is a fate resigned
Memories mar my mind
Love is a fate resigned
Over futile odds
And laughed at by the gods
And now, the final frame
Love is a losing game
",Sad
Camila Cabello,Consequences,"Dirty tissues, trust issues
Glasses on the sink, they didn't fix you
Lonely pillows in a strangers bed
Little voices in my head
Secret keeping, stop the bleeding
Lost a little weight because I wasn't eating
All the songs that I can't listen to, to tell the truth
Loving you was young, and wild, and free
Loving you was cool, and hot, and sweet
Loving you was sunshine, safe and sound
A steady place to let down my defenses
But loving you had consequences
Hesitation, awkward conversation
Running on low expectation
Every siren that I was ignoring
I'm payin' for it
Loving you was young, and wild, and free
Loving you was cool, and hot, and sweet
Loving you was sunshine, safe and sound
A steady place to let down my defenses
But loving you had consequences
No, ooh ooh ooh ooh ooh ooh
Said, ooh ooh ooh ooh ooh ooh
Hey, no ooh ooh ooh ooh ooh ooh
Loving you was dumb, dark and cheap
Loving you will still take shots at me
Found loving you was sunshine, but then it poured
And I lost so much more than my senses
'Cause loving you had consequences
Loving you",Sad
Calum Scott,Dancing On My Own,"Somebody said you got a new friend
Does she love you better than I can?
And there's a big black sky over my town
I know where you're at, I bet she's around
And yeah, I know it's stupid
But I just gotta see it for myself
I'm in the corner, watching you kiss her, oh
I'm right over here, why can't you see me? Oh
And I'm giving it my all
I'm not the guy you're taking home, ooh
I keep dancing on my own, ah
I just wanna dance all night
And I'm all messed up, I'm so out of line, yeah
Stilettos and broken bottles
I'm spinning around in circles
And I'm in the corner, watching you kiss her, oh
And I'm right over here, why can't you see me? Oh
And I'm giving it my all
But I'm not the guy you're taking home, ooh
I keep dancing on my own
And oh, nah
So far away but still so near
The lights come on, the music dies
But you don't see me standing here
I just came to say goodbye
I'm in the corner, watching you kiss her, oh
And I'm giving it my all
But I'm not the guy you're taking home, ooh
I keep dancing on my own
And oh, nah
Said, I'm in the corner, watching you kiss her, oh no
And I'm right over here, why can't you see me? Oh no
And I'm giving it my all
But I'm not the guy you're taking home, ooh
I keep dancing on my own
So far away, but still so near
The lights come on, the music dies
But you don't see me standing here",Sad
Harry Styles,Falling,"I'm in my bed
And you're not here
And there's no one to blame but the drink in my wandering hands
Forget what I said
It's not what I meant
And I can't take it back, I can't unpack the baggage you left
What am I now? What am I now?
What if I'm someone I don't want around?
I'm falling again, I'm falling again, I'm falling
What if I'm down? What if I'm out?
What if I'm someone you won't talk about?
I'm falling again, I'm falling again, I'm falling
You said you care
And you missed me too
And I'm well aware I write too many songs about you
And the coffee's out
At the Beachwood Cafe
And it kills me 'cause I know we've run out of things we can say
What am I now? What am I now?
What if I'm someone I don't want around?
I'm falling again, I'm falling again, I'm falling
What if I'm down? What if I'm out?
What if I'm someone you won't talk about?
I'm falling again, I'm falling again, I'm falling
And I get the feeling that you'll never need me again
What am I now? What am I now?
What if you're someone I just want around
I'm falling again, I'm falling again, I'm falling
What if I'm down? What if I'm out?
What if I'm someone you won't talk about?
I'm falling again, I'm falling again, I'm falling",Sad
Labrinth,Jealous,"I'm jealous of the rain
That falls upon your skin
It's closer than my hands have been
I'm jealous of the rain
I'm jealous of the wind
That ripples through your clothes
It's closer than your shadow
Oh, I'm jealous of the wind, cause
I wished you the best of
All this world could give
And I told you when you left me
There's nothing to forgive
But I always thought you'd come back, tell me all you found was
Heartbreak and misery
It's hard for me to say, I'm jealous of the way
You're happy without me
I'm jealous of the nights
That I don't spend with you
I'm wondering who you lay next to
Oh, I'm jealous of the nights
I'm jealous of the love
Love that was in here
Gone for someone else to share
Oh, I'm jealous of the love, cause
I wished you the best of
All this world could give
And I told you when you left me
There's nothing to forgive
But I always thought you'd come back, tell me all you found was
Heartbreak and misery
It's hard for me to say, I'm jealous of the way
You're happy without me
As I sink in the sand
Watch you slip through my hands
Oh, as I die here another day
Cause all I do is cry behind this smile
I wished you the best of
All this world could give
And I told you when you left me
There's nothing to forgive
But I always thought you'd come back, tell me all you found was
Heartbreak and misery
It's hard for me to say, I'm jealous of the way
You're happy without me
It's hard for me to say, I'm jealous of the way
You're happy without me",Sad
"Wiz Khalifa
",See you again,"It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standing right here talking to you
'Bout another path, I know we loved to hit the road and laugh
But something told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days, hard work forever pays
Now I see you in a better place (see you in a better place)
Uh
How can we not talk about family when family's all that we got?
Everything I went through, you were standing there by my side
And now you gon' be with me for the last ride
It's been a long day without you, my friend
And I'll tell you all about it when I see you again (I'll see you again)
We've come a long way (yeah, we came a long way)
From where we began (you know we started)
Oh, I'll tell you all about it when I see you again (I'll tell you)
When I see you again
First, you both go out your way and the vibe is feeling strong
And what's small turned to a friendship, a friendship turned to a bond
And that bond will never be broken, the love will never get lost
(The love will never get lost)
And when brotherhood come first, then the line will never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached, so remember me when I'm gone
(Remember me when I'm gone)
How can we not talk about family when family's all that we got?
Everything I went through you were standing there by my side
And now you gon' be with me for the last ride
So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home
It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
When I see you again (yeah, uh)
See you again (yeah, yeah, yeah)
When I see you again",Sad
Bruno Mars,When I was your man,"Same bed but it feels just a little bit bigger now
Our song on the radio but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name
It all just sounds like ooh, ooh, ooh, hoo
Mm, too young, too dumb to realize
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party 'cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man
My pride, my ego, my needs, and my selfish ways
Caused a good strong woman like you to walk out my life
Now I never, never get to clean up the mess I made, oh
And that haunts me every time I close my eyes
It all just sounds like ooh, ooh, ooh, hoo
Mm, too young, too dumb to realize
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party 'cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man
Although it hurts
I'll be the first to say that I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know
I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you loved to dance
Do all the things I should have done
When I was your man
Do all the things I should have done
When I was your man",Sad
Adele,Easy on me,"There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose
What I chose to do
So go easy on me
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
Had no time to choose
What I chose to do
So go easy on me
I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show
Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose
What I chose to do
So go easy on me",Sad
Adele,Hold on,"Hold on
You are still strong
Love will soon come
Just hold, hold on
Oh, what have I done yet again?
Have I not learned anything?
I don't want to live in chaos
It's like a ride that I want to get off
It's hard to hold onto who I am
When I'm stumbling in the dark for a hand
I am so tired of battling with myself
With no chance to win
Hold on
Let time be patient
You are still strong
Let pain be gracious
Love will soon come
Just hold, hold on
I swear to God, I am such a mess
The harder that I try, I regress
I'm my own worst enemy
Right now I truly hate being me
Every day feels like the road I'm on
Might just open up and swallow me whole
How do I feel so mighty small
When I'm struggling to feel at all?
Just hold on
Let time be patient (you)
You are still strong
Let pain be gracious
(Love will soon come)
Just hold (you, just hold on, you, just hold on)
Hold on (you, just hold on, just hold on)
Sometimes loneliness is the only rest we get
(Just hold on, just hold on)
And the emptiness actually lets us forget
(Just hold on, just hold on)
Sometimes forgiveness is easiest in secret
(Just hold on, just hold on, just hold on, just hold on)
So just hold on, ooh-ooh
Let time be patient
(You are still strong)
Let pain be gracious
Love will soon come, baby
If you just hold on
Hold on, hold on, hold on, hold on (hold on)
Just let time be patient (you)
'Cause you're still strong
You're still strong (are still strong)
Just be gracious
Love will soon come
If you just hold on, mm
(You, just hold on, you, just just hold on, you, just hold on)
Just be patient, just be patient (you, just hold on)
You, just hold on, you, just hold on (you are still strong)
You, just hold on
Just hold on, just hold on",Sad
Adele,My little love,"Mmh, mmh
My little love
I see your eyes widen like an ocean
When you look at me so full of my emotions
I'm finding it hard to be here, sincerely
I know you feel lost, it's my fault completely
Tell me you love me
I love you a million percent
I don't recognise myself in the coldness of the daylight
So I ain't surprised you can read through all of my lies
I feel so bad to be here when I'm so guilty
I'm so far gone, and you're the only one who can save me
Oi, I feel like you don't love me
Why do you feel like that?
Do you like-like me?
You know, mommy doesn't like anyone else like I like you, right?
I'm holding on (barely)
Mama's got a lot to learn (it's heavy)
I'm holding on (catch me)
Mama's got a lot to learn (teach me)
Mummy's been having a lot of big feelings recently
(Like how?)
Just, like, hang on lemme-, my fingers are trapped
Like, um, I feel a bit confused
(Why?) I don't know
And I feel like I don't really know what I'm doing
(Oh, at all?)
At all
And that would make me go
My little love
Tell me, do you feel the way my past aches?
When you lay on me, can you hear the way my heart breaks?
I wanted you to have everything I never had
I'm so sorry if what I've done makes you feel sad
I love your dad 'cause he gave you to me
You're half me and you're half daddy
Oh
I'm holding on (barely)
Mama's got a lot to learn (it's heavy)
I'm holding on (catch me)
Mama's got a lot to learn (teach me)
I'm having a bad day, I'm having a very anxious day
I feel very paranoid, I feel very stressed
Um, I have a hangover, which never helps, but
I feel like today is the first day since I left him that I feel lonely
And I never feel lonely, I love being on my own
I always preferred being on my own than being with people
And I feel like maybe I've been, like, overcompensating
Being out and stuff like that to keep my mind off of him
And I feel like today I'm home, and I wanna be at home
I just wanna watch TV and curl up in a ball and
Be in my sweats and stuff like that, I just feel really lonely
I feel a bit frightened that I might feel like this a lot",Sad
Adele,Hiding my heart,"This is how the story went
I met someone by accident
Who blew me away, blew me away
And it was in the darkest of my days
When you took my sorrow and you took my pain
And buried them away, buried them away
I wish I could lay down beside you when the day is done
And wake up to your face against the morning sun
But like everything I've ever known, you'll disappear one day
So I'll spend my whole life hidin' my heart away
Dropped you off at the train station
Put a kiss on top of your head
Watched you wave, and watched you wave
Then I went on home to my skyscrapers
And neon lights and waiting papers
That I call home
I call that home
I wish I could lay down beside you when the day is done
And wake up to your face against the mornin' sun
But like everything I've ever known, you'll disappear one day
So I'll spend my whole life hidin' my heart away
Away, yeah
Woke up feeling heavy hearted
I'm going back to where I started
The morning rain, the mornin' rain
And though I wish that you were here
On that same old road that brought me here
It's calling me home, it's calling me home
I wish I could lay down beside you when the day is done
And wake up to your face against the morning sun
But like everything I've ever known, you'll disappear one day
So I'll spend my whole life hidin' my heart away
I can spend my whole life hidin' my heart away",Sad
Coldplay,Amsterdam,"Come on, oh my star is fading
And I swerve out of control
If I, if I'd only waited
I'd not be stuck here in this hole
Come here, oh my star is fading
And I swerve out of control
And I swear I waited and waited
I've got to get out of this hole
But time is on your side
It's on your side now
Not pushing you down and all around
It's no cause for concern
Come on, oh my star is fading
And I see no chance of release
And I know I'm dead on the surface
But I am screaming underneath
And time is on your side
Is on your side, It's on your side now
Not pushing you down, and all around
No it's no cause for concern
Stuck on the end of this ball and chain
And I'm on my way back down again
Stood on a bridge, tied to the noose
Sick to the stomach
You can say what you mean
But it won't change a thing
I'm sick of the secrets
Stood on the edge, tied to the noose
You came along and you cut me loose
You came along and you cut me loose
You came along and you cut me loose",Sad
Maroon 5,Sad,"Man, it's been a long day
Stuck thinking 'bout it driving on the freeway
Wondering if I really tried everything I could
Not knowing if I should try a little harder
Oh, but I'm scared to death
That there may not be another one like this
And I confess that I'm only holding on by a thin thin thread
And I'm kicking the curb cause you never heard
The words that you needed so bad
And I'm kicking the dirt cause I never gave you
The place that you needed to have
I'm so sad, sad
Man, it's been a long night
Just sitting here, trying not to look back
Still looking at the road we never drove on
And wondering if the one I chose was the right one
Oh, but I'm scared to death
That there may not be another one like this
And I confess that I'm only holding on by a thin, thin thread
And I'm kicking the curb cause you never heard
The words that you needed so bad
And I'm kicking the dirt cause I never gave you
The place that you needed to have
I'm so sad, sad
I'm so sad, so sad
Oh, but I'm scared to death
That there may not be another one like this
And I confess that I'm only holding on by a thin thin thread
I'm kicking the curb cause you never heard
The words that you needed so bad
And I'm kicking the dirt 'cause I never gave you
The things that you needed to have
And I'm kicking the curb cause you never heard
The words that you needed so bad
I'm so sad, so sad",Sad
Neil Young,"Only Love Can Break Your Heart
","When you were young
And on your own
How did it feel to be alone?
I was always thinking of games
That I was playing
Trying to make the best of my time
But only love can break your heart
Try to be sure right from the start
Yes, only love can break your heart
What if your world should fall apart?
I have a friend I've never seen
He hides his head inside a dream
Someone should call him and see
If he can come out
Try to lose the down that he's found
But only love can break your heart
Try to be sure right from the start
Yes, only love can break your heart
What if your world should fall apart?
I have a friend I've never seen
He hides his head inside a dream
Yes, only love can break your heart
Yes, only love can break your heart
Yes, only love can break your heart
Yes, only love can break your heart
Yes, only love can break your heart",Sad
FINNEAS,Break my heart again,"Hey, you
I'm just now leaving
Can I come around later on this evening?
Or do you need time?
Yes, of course, that's fine
Hey, you
Good morning
I'm sure you're busy now, why else would you ignore me?
Or do you need space?
You can't help it if your mind has changed
So go ahead and break my heart again
Leave me wondering why the hell I ever let you in
Are you the definition of insanity?
Or am I?
Oh, it must be nice
To love someone who lets you break them twice
You're so blue
Are you still breathing?
Won't you tell me if you found that deeper meaning?
Do you think I've gone blind?
I know it's not the truth when you say, ""I'm fine""
So go ahead and break my heart again
Leave me wonderin' why the hell I ever let you in
Are you the definition of insanity?
Or am I?
Oh, it must be nice
To love someone who lets you break them twice
So don't pretend that I'm the instigator
You were the one, but you're born to say goodbye
Kissed me half a decade later
That same perfume, those same sad eyes
Go ahead and break my heart again
Leave me wonderin' why the hell I ever let you in
Are you the definition of insanity?
Or am I?
Or am I?
Must be nice
To love someone who lets you break them twiceSince you took your love away
I go out every night and sleep all day
Since you took your love away
Since you been gone, I can do whatever I want
I can see whomever I choose
I can eat my dinner in a fancy restaurant
But nothing
I said nothing can take away these blues
'Cause nothing compares
Nothing compares to you
It's been so lonely without you here
Like a bird without a song
Nothing can stop these lonely tears from falling
Tell me baby, where did I go wrong?
I could put my arms around every boy I see
But they'd only remind me of you
I went to the doctor, guess what he told me
Guess what he told me
He said, ""Girl you better try to have fun, no matter what you do""
But he's a fool
'Cause nothing compares, nothing compares to you
All the flowers that you planted mama
In the back yard
All died when you went away
I know that living with you baby was sometimes hard
But I'm willing to give it another try
Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you",Sad
Harry Styles,Fine Line,"Put a price on emotion
I'm looking for something to buy
You've got my devotion
But man, I can hate you sometimes
I don't want to fight you
And I don't wanna sleep in the dirt
We'll get the drinks in
So I'll get to thinking of her
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
Test of my patience
There's things that we'll never know
You sunshine, you temptress
My hand's at risk, I fold
Crisp trepidation
I'll try to shake this soon
Spreading you open
Is the only way of knowing you
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be alright
We'll be alright
We'll be a fine line
We'll be a fine line
We'll be alright (alright, alright, alright)
We'll be alright
We'll be alright",Sad
